figure,description,file,rows,sha256
Fig. 1,Model components and interpretation boundary,fig01_model_definition_source_v1.csv,6,f8dfef4933efa6449190d66fb5c07f1f8d555345cedcbb2b249c28084a167b96
Fig. 2,Reference epsilon-constraint frontier,fig02_reference_frontier_source_v1.csv,21,b445e95b270f7c28298174f73bf5628d7c66f42017a5052498126947a55bde35
Fig. 2,Reference marginal trade-off segments,fig02_reference_segment_source_v1.csv,20,52c7c0ae8ddece59860382a70165ab57cd88dcb422d50487751bf857fb7aedfd
Fig. 2,Conditional paired circular-block intervals for reference frontier,fig02_reference_block_intervals_source_v1.csv,21,3cd2b9a981ba40f10cd03cf386f68725d3ab0449bf5eceb3669c3538b9f9fb26
Fig. 2,Reference regional allocation at three cap points,fig02_selected_allocations_source_v1.csv,3,0a3cbd36f91beddd6b961ac654809f137a3d90f7a6bde39f8fe8aa8d07772b66
Fig. 3,Deterministic 243-cell scenario envelope by cap,fig03_scenario_cap_summary_source_v1.csv,5,5eb8d0fb35f5ec9dfdd1e05d754873998a53cab5e418fff0d71bd582d2c03982
Fig. 3,All zero-cap scenario cells,fig03_zero_cap_scenarios_source_v1.csv,243,1f4210930e7e2929e1f065146dcebe4c02b65bdf5c917c614e327051d848f08c
Fig. 3,Zero-cap deterministic ranges by PUE scenario,fig03_zero_cap_pue_summary_source_v1.csv,3,5f2534161a9ae6a1dd4c7c66888f31d33045c1d7e11986cf9356e136c2375433
Fig. 3,Scenario adjacent-cap marginal trade-offs,fig03_scenario_segment_source_v1.csv,972,693005ba22b283cad4b6219000f5a3d65274579ad9e2ca03ce81b4bc8eb6aeb4
Fig. 3,Machine-readable scenario QA checks,fig03_solver_qa_source_v1.csv,16,03a643095e267dc5d284f09d14fbd6be6d8aae60290971ff9749aa50d789bd09
Fig. 4,81-profile reoptimized spatial WUE frontier,fig04_spatial_wue_frontier_source_v1.csv,405,3395ed0c3d327002ed7c5aa0d744a2cca5d44b92bfeec3523a03c54394a969e4
Fig. 4,Deterministic WUE-profile envelope by cap,fig04_spatial_wue_cap_summary_source_v1.csv,5,5fa77c834f5b7c006d93a603981e326dcdab268aceb4ba9881c5f55da75ca61b
Fig. 4,Spatial WUE profile attributes,fig04_wue_profile_attributes_source_v1.csv,81,496caf843e4a3d13f506ea9e8a4faff7e2febcf3247fd4047ba5db20f911952c
Fig. 4,Energy-intensity scaling invariance check,fig04_energy_scaling_source_v1.csv,15,d9c77bfa6a1c5693311a860c83226ef6d51513baaeb2b2ca3c744b200db5ca06
